time,volt,current,compound
0.0100,-1.6000,0.0000,Contr(Zn+Cu)
0.0200,-1.6000,0.0000,Contr(Zn+Cu)
0.0300,-1.6000,0.0000,Contr(Zn+Cu)
0.0400,-1.6000,0.0000,Contr(Zn+Cu)
0.0500,-1.6000,0.0000,Contr(Zn+Cu)
0.0600,-1.6000,0.0000,Contr(Zn+Cu)
0.0700,-1.6000,0.0000,Contr(Zn+Cu)
0.0800,-1.6000,0.0000,Contr(Zn+Cu)
0.0900,-1.6000,0.0000,Contr(Zn+Cu)
0.1000,-1.6000,0.0000,Contr(Zn+Cu)
0.1100,-1.6000,0.0000,Contr(Zn+Cu)
0.1200,-1.6000,0.0000,Contr(Zn+Cu)
0.1300,-1.6000,0.0000,Contr(Zn+Cu)
0.1400,-1.6000,0.0000,Contr(Zn+Cu)
0.1500,-1.6000,0.0000,Contr(Zn+Cu)
0.1600,-1.6000,0.0000,Contr(Zn+Cu)
0.1700,-1.6000,0.0000,Contr(Zn+Cu)
0.1800,-1.6000,0.0000,Contr(Zn+Cu)
0.1900,-1.6000,0.0000,Contr(Zn+Cu)
0.2000,-1.6000,0.0000,Contr(Zn+Cu)
0.2100,-1.6000,0.0000,Contr(Zn+Cu)
0.2200,-1.6000,0.0000,Contr(Zn+Cu)
0.2300,-1.6000,0.0000,Contr(Zn+Cu)
0.2400,-1.6000,0.0000,Contr(Zn+Cu)
0.2500,-1.6000,0.0000,Contr(Zn+Cu)
0.2600,-1.6000,0.0000,Contr(Zn+Cu)
0.2700,-1.6000,0.0000,Contr(Zn+Cu)
0.2800,-1.6000,0.0000,Contr(Zn+Cu)
0.2900,-1.6000,0.0000,Contr(Zn+Cu)
0.3000,-1.6000,0.0000,Contr(Zn+Cu)
0.3100,-1.6000,0.0000,Contr(Zn+Cu)
0.3200,-1.6000,0.0000,Contr(Zn+Cu)
0.3300,-1.6000,0.0000,Contr(Zn+Cu)
0.3400,-1.6000,0.0000,Contr(Zn+Cu)
0.3500,-1.6000,0.0000,Contr(Zn+Cu)
0.3600,-1.6000,0.0000,Contr(Zn+Cu)
0.3700,-1.6000,0.0000,Contr(Zn+Cu)
0.3800,-1.6000,0.0000,Contr(Zn+Cu)
0.3900,-1.6000,0.0000,Contr(Zn+Cu)
0.4000,-1.6000,0.0000,Contr(Zn+Cu)
0.4100,-1.6000,0.0000,Contr(Zn+Cu)
0.4200,-1.6000,0.0000,Contr(Zn+Cu)
0.4300,-1.6000,0.0000,Contr(Zn+Cu)
0.4400,-1.6000,0.0000,Contr(Zn+Cu)
0.4500,-1.6000,0.0000,Contr(Zn+Cu)
0.4600,-1.6000,0.0000,Contr(Zn+Cu)
0.4700,-1.6000,0.0000,Contr(Zn+Cu)
0.4800,-1.6000,0.0000,Contr(Zn+Cu)
0.4900,-1.6000,0.0000,Contr(Zn+Cu)
0.5000,-1.6000,0.0000,Contr(Zn+Cu)
0.5100,-1.6000,0.0000,Contr(Zn+Cu)
0.5200,-1.6000,0.0000,Contr(Zn+Cu)
0.5300,-1.6000,0.0000,Contr(Zn+Cu)
